tgaMobileRT.exe: 00004344: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-awesome-4.7.0\resources\font-awesome-all.css
tgaMobileRT.exe: 00003BDC: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-awesome\resources\font-awesome-all.css
tgaMobileRT.exe: 00000620: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.draw.css
tgaMobileRT.exe: 00001FAC: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.css
tgaMobileRT.exe: 00004668: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-pictos\resources\font-pictos-all.css
tgaMobileRT.exe: 00005F00: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\sweetalert2.min.css
tgaMobileRT.exe: 000050E0: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\unisweetalert2.css
tgaMobileRT.exe: 000015D0: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\dist\toasty.css
tgaMobileRT.exe: 00005810: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\assets\style.css
tgaMobileRT.exe: 00004F5C: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\assets\toasty-custom-styles.css
tgaMobileRT.exe: 000037C4: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\css\uni-xtheme-common.css
tgaMobileRT.exe: 000045D4: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\leaflet-text-icon.css
tgaMobileRT.exe: 00004F6C: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\ext-all.js
tgaMobileRT.exe: 00003504: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\classic\theme-classic\theme-classic.js
tgaMobileRT.exe: 00002FB4: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\ext-unicommon-min.js
tgaMobileRT.exe: 00002050: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\ext-sync-min.js
tgaMobileRT.exe: 000033A8: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\classic\locale\locale-pt_BR.js
tgaMobileRT.exe: 00003198: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\jQuery\jquery-1.11.2.min.js
tgaMobileRT.exe: 00001834: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\jQuery\MaskedInput\jquery.inputmask.min.js
