Nome	Tipo	Descrição	
C09857.USER3	Usuário	MEGA MOVEIS	
C09883.USER1 AUTO PORTAS SERVICOS E ACESSORIOS	Usuário		
C09939.USER1	Usuário	ELETROCELL	
C09956.USER1	Usuário	OBELA POR KTHRIN	
C09980.USER1	Usuário	FARFALHA	
C09980.USER2	Usuário	FARFALHA	
C10041.USER1	Usuário	HR1 PECAS E SERVICOS	
C10041.USER2	Usuário	HR1 PECAS E SERVICOS	
C10041.USER3	Usuário	HR1 PECAS E SERVICOS	
C10041.USER4	Usuário	HR1 PECAS E SERVICOS	
C10073.USER1	Usuário	LILICOS PNEUS	
C10073.USER2	Usuário	LILICOS PNEUS	
C10074.USER1	Usuário	CENTRAL GESSO	
C10106.USER1 RARUS TECNOLOGIA	Usuário		
C10106.USER2 RARUS TECNOLOGIA	Usuário		
C10106.USER3 RARUS TECNOLOGIA	Usuário		
C10106.USER4 RARUS TECNOLOGIA	Usuário		
C10106.USER5 RARUS TECNOLOGIA	Usuário		
C10106.USER6	Usuário		
C10121.USER1	Usuário	MATRIZ	
C10121.USER2	Usuário	MATRIZ	
C10121.USER3	Usuário	MATRIZ	
C10136.USER1	Usuário	PRIMA FICO	
C10136.USER2	Usuário	PRIMA FICO	
C10136.USER3	Usuário	PRIMA FICO	
C10136.USER4	Usuário	PRIMA FICO	
C10136.USER5	Usuário	PRIMA FICO	
C10136.USER6	Usuário	PRIMA FICO	
C10136.USER7	Usuário	PRIMA FICO	
C10136.USER8 PRIMA FICO	Usuário		
C10221.USER1 AMIGAO MATERIAS CONSTRUCAO	Usuário		
C10221.USER2 AMIGAO MATERIAS CONSTRUCAO	Usuário		
C10221.USER3 AMIGAO MATERIAS CONSTRUCAO	Usuário		
C10336.USER1 MASTER AGRICOLA	Usuário		
C10336.USER2 MASTER AGRICOLA	Usuário		
C10336.USER3 MASTER AGRICOLA	Usuário		
C10336.USER4 MASTER AGRICOLA	Usuário		
C10336.USER5 MASTER AGRICOLA	Usuário		
C10368.USER1	Usuário	GLOBAL FACILITE	
C10368.USER2	Usuário	GLOBAL FACILITE	
C10368.USER3	Usuário	GLOBAL FACILITE	
C10368.USER4	Usuário	GLOBAL FACILITE	
C10393.USER1	Usuário	AUTO ELETRICA ABDALA	
C10393.USER2	Usuário	AUTO ELETRICA ABDALA	
C10409.USER1 SALUMAR INDUSTRIA	Usuário		
C10409.USER2 SALUMAR INDUSTRIA	Usuário		
C10409.USER3 SALUMAR INDUSTRIA	Usuário		
C10409.USER4 SALUMAR INDUSTRIA	Usuário		
C10417.USER1	Usuário	BAQUER DISTRIBUIDORA	
C10417.USER2	Usuário	BAQUER DISTRIBUIDORA	
C10417.USER3	Usuário	BAQUER DISTRIBUIDORA	
C10417.USER4	Usuário		
C10420.USER2 ABRAMAR	Usuário		
C10434.USER1	Usuário	MANARIN ESPORTE NAUTICA	
C10478.USER1	Usuário	BIELLA FORKLIFT	
C10478.USER2	Usuário	BIELLA FORKLIFT	
C10478.USER3	Usuário	BIELLA FORKLIFT	
C10486.USER1	Usuário	HIDRODIESEL	
C10486.USER2	Usuário	HIDRODIESEL	
C10538.USER1	Usuário	MT AGRO	
C10538.USER2	Usuário	MT AGRO	
C10553.USER1	Usuário	AGROPET	
C10553.USER2	Usuário	AGROPET	
C10553.USER3	Usuário	AGROPET	
C10574.USER1	Usuário	REVENDA	
C10603.USER1 ELETRO HELOY	Usuário		
C10603.USER2 ELETRO HELOY	Usuário		
C10603.USER3 ELETRO HELOY	Usuário		
C10669.USER1	Usuário	MT LAJES	
C10778.USER1	Usuário	TIBBI MANIA	
C10778.USER2	Usuário	TIBBI MANIA	
C10778.USER3	Usuário	TIBBI MANIA	
C10778.USER4	Usuário	TIBBI MANIA	
C10778.USER5	Usuário	TIBBI MANIA	
C10778.USER6	Usuário	TIBBI MANIA	
C10786.USER1	Usuário	SOLIMPAR	
C10812.USER1 ELETRO HELOY	Usuário		
C10812.USER2 ELETRO HELOY	Usuário		
C10835.USER1 MI STORE	Usuário		
C10835.USER2 MI STORE	Usuário		
C10880.USER1	Usuário	EMPORIO DAS TINTAS	
C10880.USER2	Usuário	EMPORIO DAS TINTAS	
C10880.USER3	Usuário	EMPORIO DAS TINTAS	
C10880.USER4	Usuário	EMPORIO DAS TINTAS	
C10880.USER5	Usuário	EMPORIO DAS TINTAS	
C10880.USER6	Usuário	EMPORIO DAS TINTAS	
C10890.USER1	Usuário	BET ENGENHARIA	
C10890.USER2	Usuário	BET ENGENHARIA	
C10890.USER3	Usuário	BET ENGENHARIA	
C10890.USER4	Usuário	BET ENGENHARIA	
C10890.USER5	Usuário	BET ENGENHARIA	
C10890.USER6	Usuário	BET ENGENHARIA	
C10890.USER7	Usuário	BET ENGENHARIA	
C10903.USER1	Usuário	LOJÃO DA CHICA	
C10903.USER2	Usuário	LOJÃO DA CHICA	
C10903.USER3	Usuário	LOJÃO DA CHICA	
C10903.USER4	Usuário	LOJÃO DA CHICA	
C10903.USER5	Usuário	LOJÃO DA CHICA	
C10903.USER6	Usuário	LOJÃO DA CHICA	
C10938.USER1 CG COMPRESSORES E AUTOMACAO	Usuário		
C10938.USER2 CG COMPRESSORES E AUTOMACAO	Usuário		
C10966.USER1	Usuário	CASA TUA	
C10966.USER2	Usuário	CASA TUA	
C10966.USER3	Usuário	CASA TUA	
C10966.USER4 CASA TUA	Usuário		
C11002.USER1	Usuário	TRACTOR PECAS	
C11002.USER2	Usuário	TRACTOR PECAS	
C11002.USER3	Usuário	TRACTOR PECAS	
C11002.USER4	Usuário	TRACTOR PECAS	
C11002.USER5	Usuário	TRACTOR PECAS	
C11002.USER6	Usuário	TRACTOR PECAS	
C11002.USER7	Usuário	TRACTOR PECAS	
C11002.USER8	Usuário	TRACTOR PECAS	
C11018.USER1	Usuário	HOLZ	
C11018.USER2	Usuário	HOLZ	
C11018.USER3	Usuário	HOLZ	
C11018.USER4	Usuário	HOLZ	
C11018.USER5 HOLZ MANGUEIRAS E FERRAGENS	Usuário		
